"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2025-02-05T13:13:17+00:00","112-3749513-0999427","G24267-5-Green-8x10-US-V1","B0DBVM69Y6","X004CBGGHP","LUXRUG Washable Area Rug 8x10 - Large Sage Green Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Distressed Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor","1","TEN1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNPMDN3634056",
"2025-02-05T03:30:08+00:00","114-8170059-4385029","G24267-2-Beige-3x5-US-V1","B0DBVM2KQN","X004CBBRXX","LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Cream Vintage Oriental Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Entrance Dorm Office Home Decor","1","IND8","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNO284594670","Too small for our room."
"2025-02-05T03:11:52+00:00","111-0584565-7454636","N1338-1-Orange-9x12-US-V1","B0DBZ56PC3","X004CCV06L","LUXRUG Area Rugs 9x12 Living Room - Large Washable Orange Boho Rugs for Bedroom Soft Abstract Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor","1","CVG2","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNNH4ZNKWMLN","Doesn’t fit"
"2025-02-04T19:50:20+00:00","113-8869155-8824253","G24268-7-Black-5x7-US-V1","B0DBZB9JY5","X004CCTMV1","LUXRUG Washable Area Rug 5x7 - Traditional Floral Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Charcoal Black Vintage Dining Room Rugs for Under Table Indoor Carpet for Living Room","1","MCI7","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNO237474859",
"2025-02-04T17:48:58+00:00","111-3885675-2600212","G24267-1A-Cream-9x12-US-V1","B0DBYZ1P1H","X004CCPQYD","LUXRUG Area Rugs 9x12 Living Room - Large Washable Cream Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Colorful Traditional Floral Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor","1","HOU3","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNPMDN2250292",
"2025-02-04T15:05:29+00:00","112-0385936-0942637","N1338-1-Orange-5x7-US-V1","B0DBYYVZMX","X004CCZFYJ","LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Orange Modern Abstract Rainbow Dining Room Rugs Indoor Carpet for Living Room Nursery Room","1","LEX1","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNNK4LKYZJX5","no longer needed"
"2025-02-04T07:32:07+00:00","114-5383770-9655466","G24267-1A-Cream-8x10-US-V1","B0DBYVNMF8","X004CCRXK3","LUXRUG Washable Area Rug 8x10 - Large Cream Colorful Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Traditional Floral Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor","1","CVG2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNNH4FFY4863",
"2025-02-04T07:12:33+00:00","113-2464483-9793019","G24268-7-Black-6x9-US-V1","B0DBYXH8YW","X004CCN2HB","LUXRUG 6x9 Area Rug for Living Room - Large Traditional Floral Washable Rugs for Bedroom Non-Slip Charcoal Black Stain Resistant Dining Room Rug Low-Pile Carpet Soft Vinatge Rug for Office Guest Room","1","TEN1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNPMDN1899244",
"2025-02-04T06:43:48+00:00","111-6424205-6685827","N1338-1-Orange-9x12-US-V1","B0DBZ56PC3","X004CCV06L","LUXRUG Area Rugs 9x12 Living Room - Large Washable Orange Boho Rugs for Bedroom Soft Abstract Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor","1","CVG2","SELLABLE","DEFECTIVE","Unit returned to inventory","LPNNH4XF9VJLF","Quality not as expected"
"2025-02-03T22:15:22+00:00","111-3647953-7818663","G24267-5-Green-3x5-US-V1","B0DBVPWW8F","X004CBBSFZ","LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Vintage Oriental Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Entrance Dorm Office Home Decor","1","PHX6","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNO291350432","Too big for space. I will order correct size now. Beautiful rug."
"2025-02-03T19:03:23+00:00","113-7656980-9876264","G24267-5-Green-9x12-US-V1","B0DBVMLB8P","X004CBDMCH","LUXRUG Area Rugs 9x12 Living Room - Large Washable Sage Green Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Farmhouse Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor","1","CVG2","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNNH4DMCBGC7",
"2025-02-03T13:04:00+00:00","113-7656980-9876264","G24267-5-Green-6x9-US-V1","B0DBVJDNXF","X004CBJR85","LUXRUG 6x9 Area Rug for Living Room - Large Oriental Washable Rugs for Bedroom Non-Slip Sage Green Stain Resistant Dining Room Rug Farmhouse Low-Pile Carpet Soft Vinatge Rug for Office Guest Room","1","CHA1","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNNA5LDSK63S",
"2025-02-03T12:41:07+00:00","113-3817800-6935437","N1338-3-Sage Green-3x5-US-V1","B0DBYMRB1C","X004CCZFPN","LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Dorm Nursery Room Home Decor","1","CHA1","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNNA53F9L9GW","Color Does not work in the room."
"2025-02-03T09:19:09+00:00","114-5872663-4945022","N1338-1-Orange-3x5-US-V1","B0DBZ7YNH5","X004CCRHBX","LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Orange Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Dorm Nursery Room Home Decor","1","MEM3","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNNJ4X8K1T5Q","Too big for the space"
"2025-02-03T07:46:52+00:00","113-8017432-6565032","G24268-7-Black-5x7-US-V1","B0DBZB9JY5","X004CCTMV1","LUXRUG Washable Area Rug 5x7 - Traditional Floral Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Charcoal Black Vintage Dining Room Rugs for Under Table Indoor Carpet for Living Room","1","TUS1","CUSTOMER_DAMAGED","UNAUTHORIZED_PURCHASE","Unit returned to inventory","LPNPMDE8748166",
"2025-02-03T05:57:21+00:00","114-4420957-1029069","G24267-5-Green-9x12-US-V1","B0DBVMLB8P","X004CBDMCH","LUXRUG Area Rugs 9x12 Living Room - Large Washable Sage Green Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Farmhouse Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor","1","SDF6","DEFECTIVE","SWITCHEROO","Unit returned to inventory","LPNNK49FZ8KC2","This is not the correct rug. I ordered the sage green one!"
"2025-02-03T05:30:31+00:00","114-0394361-8465859","G24267-1A-Cream-8x10-US-V1","B0DBYVNMF8","X004CCRXK3","LUXRUG Washable Area Rug 8x10 - Large Cream Colorful Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Traditional Floral Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor","1","TEN1","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNPMDN7469924",
"2025-02-03T04:23:46+00:00","114-6135344-7569050","N1338-3-Sage Green-6x9-US-V1","B0DBYT5KQ7","X004CCUZEJ","LUXRUG 6x9 Area Rug for Living Room - Large Abstract Washable Rugs for Bedroom Non-Slip Sage Green Stain Resistant Dining Room Rug Rainbow Low-Pile Carpet Soft Modern Rug for Office Nursery Room","1","TUS1","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNPMDN6637923","Rug was to big for the area it needed to cover"
"2025-02-02T22:25:16+00:00","701-3523600-2326612","G24136-13-Grey-5x7-US-V1","B0DBYZM1X6","X004CCV52P","LUXRUG - Alfombra lavable de 5 x 7 pulgadas, alfombra bohemia para sala de estar, suave y resistente a las manchas, color gris carbón, moderna abstracta geométrica para comedor, alfombra interior para","1","LAS2","SELLABLE","NOT_COMPATIBLE","Unit returned to inventory","LPNPMDJ5479393","el gris es demasiado oscuro para el espacio"
"2025-02-02T18:35:46+00:00","114-0611429-3311448","G24267-4-Pink-8x10-US-V1","B0DBVMDM69","X004CBGG75","LUXRUG Washable Area Rug 8x10 - Large Pink Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Distressed Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor","1","SDF6","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNNK4ZHGDFP4",
"2025-02-02T14:01:07+00:00","111-0582763-0126615","G24267-5-Green-5x7-US-V1","B0DBVNT5V3","X004CBGERR","LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Sage Green Vintage Oriental Farmhouse Dining Room Rugs for Under Table Indoor Carpet for Living Room","1","MEM3","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNNL4YCGB28P","Color does not match"
"2025-02-02T13:12:30+00:00","113-1637890-7216213","G24267-1A-Cream-5x7-US-V1","B0DBYX9CK6","X004CCOSNN","LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Cream Colorful Vintage Traditional Floral Dining Room Rugs for Under Table Indoor Carpet for Living Room","1","EWR7","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNRRIX2170309",
"2025-02-02T12:25:02+00:00","112-0853187-7425032","G24136-7-Beige-5x7-US-V1","B0DBZ76XQH","X004CCX8F7","LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Beige Modern Abstract Geometric Dining Room Rugs Indoor Carpet for Living Room Nursery Room","1","IND8","SELLABLE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNO310098615","Rug is too thin and not quality I am looking for."
"2025-02-02T06:52:32+00:00","114-2065607-6592248","G24267-2-Beige-5x7-US-V1","B0DBVNXDMY","X004CBJOSX","LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Cream Vintage Oriental Farmhouse Dining Room Rugs for Under Table Indoor Carpet for Living Room","1","FAR1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNAC011420910",
"2025-02-02T06:01:57+00:00","112-7800835-1479427","G24267-5-Green-8x10-US-V1","B0DBVM69Y6","X004CBGGHP","LUXRUG Washable Area Rug 8x10 - Large Sage Green Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Distressed Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor","1","TEN1","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNPMDG6692143",
